Breed,Adaptability,All_Around_Friendliness,Exercise_Needs,Health_Grooming,Trainability,Adapts_Well_to_Apartment_Living,Affectionate_with_Family,Amount_Of_Shedding,Dog_Friendly,Drooling_Potential,Easy_To_Groom,Easy_To_Train,Energy_Level,Friendly_Toward_Strangers,General_Health,Good_For_Novice_Owners,Incredibly_Kid_Friendly_Dogs,Intelligence,Intensity,Potential_For_Mouthiness,Potential_For_Playfulness,Potential_For_Weight_Gain,Prey_Drive,Sensitivity_Level,Size,Tendency_To_Bark_Or_Howl,Tolerates_Being_Alone,Tolerates_Cold_Weather,Tolerates_Hot_Weather,Wanderlust_Potential,Type,Congenital_Ailments,Lifetime_Cost,Longevity_Years,Number_of_Congenital_Ailments,Purchase_Price,Food_Costs_Per_Year,Grooming_Frequency
Finnish Lapphund,4.0,5.0,5.0,3.0,4.0,4.0,5.0,3.0,5.0,1.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,3.0,3.0,2.0,5.0,2.0,4.0,,,,,,,,
Finnish Spitz,3.0,5.0,5.0,3.0,4.0,3.0,5.0,4.0,5.0,1.0,2.0,3.0,5.0,3.0,4.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,3.0,3.0,3.0,5.0,1.0,5.0,3.0,4.0,,,,,,,,
Flat-Coated Retriever,3.0,5.0,5.0,3.0,4.0,1.0,5.0,3.0,5.0,2.0,4.0,4.0,5.0,5.0,4.0,2.0,5.0,5.0,4.0,3.0,5.0,4.0,3.0,5.0,3.0,4.0,1.0,4.0,4.0,4.0,sporting,none,16000,9.02,0,600,466,Daily
Fox Terrier,3.0,4.0,5.0,2.0,4.0,3.0,4.0,2.0,3.0,1.0,2.0,5.0,5.0,3.0,4.0,3.0,4.0,5.0,5.0,3.0,5.0,2.0,5.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,,,,,,,,
French Bulldog,3.0,4.0,4.0,3.0,3.0,5.0,5.0,3.0,4.0,1.0,5.0,4.0,3.0,4.0,2.0,5.0,4.0,3.0,4.0,3.0,5.0,4.0,2.0,3.0,2.0,3.0,1.0,2.0,1.0,2.0,non-sporting,none,17266,9.0,0,1900,466,Once a week
German Pinscher,3.0,3.0,5.0,3.0,4.0,3.0,5.0,3.0,2.0,1.0,5.0,4.0,5.0,2.0,4.0,3.0,3.0,5.0,3.0,3.0,5.0,3.0,5.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,,,,,,,,
German Shepherd Dog,3.0,4.0,5.0,4.0,4.0,3.0,5.0,5.0,2.0,1.0,5.0,5.0,5.0,4.0,4.0,2.0,5.0,5.0,5.0,5.0,5.0,2.0,4.0,5.0,4.0,4.0,2.0,4.0,3.0,2.0,herding,"nerves,pancreas,blood (hemophilia),hip joints",17416,9.73,4,820,466,Once a week
German Shorthaired Pointer,2.0,4.0,5.0,3.0,5.0,1.0,5.0,2.0,4.0,2.0,5.0,5.0,5.0,3.0,3.0,2.0,5.0,5.0,3.0,4.0,5.0,3.0,5.0,4.0,3.0,3.0,1.0,2.0,4.0,5.0,sporting,hip problems,25842,11.46,1,545,971,Once a week
German Wirehaired Pointer,3.0,3.0,5.0,3.0,4.0,2.0,5.0,2.0,3.0,2.0,4.0,4.0,5.0,2.0,4.0,3.0,3.0,5.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,3.0,2.0,3.0,4.0,5.0,,,,,,,,
Giant Schnauzer,2.0,3.0,4.0,3.0,4.0,1.0,5.0,4.0,3.0,1.0,2.0,5.0,5.0,2.0,4.0,1.0,3.0,4.0,2.0,3.0,5.0,3.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,working,hip problems,26686,10.0,1,810,1349,Daily
Glen of Imaal Terrier,3.0,4.0,4.0,3.0,4.0,4.0,5.0,1.0,2.0,1.0,5.0,4.0,4.0,3.0,5.0,2.0,5.0,4.0,5.0,3.0,4.0,3.0,5.0,3.0,1.0,4.0,3.0,3.0,4.0,3.0,,,,,,,,
Goldador,4.0,5.0,5.0,3.0,3.0,2.0,5.0,3.0,5.0,2.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,2.0,5.0,3.0,1.0,3.0,4.0,1.0,4.0,5.0,4.0,4.0,,,,,,,,
Golden Retriever,3.0,5.0,4.0,4.0,4.0,2.0,5.0,5.0,5.0,4.0,2.0,5.0,5.0,5.0,2.0,3.0,5.0,5.0,2.0,5.0,5.0,5.0,3.0,5.0,3.0,3.0,1.0,3.0,3.0,2.0,sporting,"elbow problems,hip problems,eye problems,heart problems",21447,12.04,4,958,466,Once a week
Goldendoodle,3.0,5.0,4.0,3.0,3.0,1.0,5.0,2.0,5.0,1.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,3.0,1.0,5.0,3.0,1.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,
Gordon Setter,3.0,3.0,4.0,3.0,4.0,2.0,5.0,5.0,2.0,3.0,2.0,5.0,5.0,3.0,4.0,3.0,3.0,5.0,2.0,3.0,5.0,3.0,4.0,4.0,3.0,5.0,1.0,4.0,3.0,4.0,sporting,hip problems,19605,11.1,1,700,466,Once a week
Great Dane,2.0,5.0,5.0,4.0,3.0,1.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,1.0,5.0,3.0,5.0,2.0,5.0,2.0,3.0,5.0,5.0,4.0,1.0,2.0,3.0,3.0,working,"heart problems,spinal problems,hip problems,fatal stomach bloat",14662,6.96,4,1040,710,Once a week
Great Pyrenees,3.0,4.0,5.0,4.0,4.0,1.0,5.0,5.0,4.0,2.0,4.0,1.0,5.0,3.0,2.0,1.0,4.0,4.0,5.0,2.0,4.0,4.0,5.0,4.0,5.0,5.0,3.0,5.0,3.0,5.0,,,,,,,,
Greater Swiss Mountain Dog,3.0,5.0,4.0,3.0,3.0,1.0,5.0,3.0,5.0,1.0,5.0,3.0,5.0,3.0,2.0,2.0,5.0,3.0,4.0,3.0,5.0,4.0,4.0,4.0,5.0,4.0,3.0,5.0,1.0,3.0,,,,,,,,
Greyhound,3.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,2.0,5.0,5.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,2.0,1.0,1.0,5.0,5.0,hound,blood vessel disorders,15819,9.36,1,1175,324,Once a week
Harrier,3.0,5.0,5.0,3.0,4.0,1.0,4.0,3.0,5.0,1.0,5.0,2.0,5.0,5.0,5.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0,4.0,2.0,3.0,4.0,3.0,3.0,4.0,5.0,,,,,,,,
Havanese,4.0,5.0,3.0,2.0,3.0,5.0,5.0,2.0,5.0,1.0,1.0,5.0,3.0,5.0,3.0,5.0,4.0,4.0,2.0,3.0,5.0,4.0,4.0,4.0,2.0,2.0,1.0,3.0,4.0,2.0,,,,,,,,
Ibizan Hound,3.0,5.0,5.0,3.0,4.0,5.0,5.0,3.0,5.0,1.0,5.0,3.0,5.0,4.0,4.0,3.0,5.0,4.0,3.0,3.0,5.0,1.0,5.0,4.0,3.0,2.0,2.0,1.0,4.0,5.0,,,,,,,,
Icelandic Sheepdog,3.0,3.0,4.0,3.0,3.0,1.0,4.0,5.0,2.0,1.0,1.0,3.0,4.0,2.0,3.0,1.0,4.0,4.0,5.0,3.0,4.0,3.0,4.0,3.0,3.0,1.0,2.0,5.0,3.0,4.0,,,,,,,,
Irish Red and White Setter,3.0,4.0,5.0,2.0,4.0,1.0,5.0,3.0,4.0,1.0,3.0,4.0,5.0,4.0,2.0,3.0,4.0,4.0,5.0,4.0,5.0,2.0,3.0,4.0,3.0,3.0,1.0,4.0,3.0,4.0,,,,,,,,
Irish Setter,3.0,5.0,5.0,3.0,5.0,1.0,5.0,4.0,5.0,2.0,3.0,4.0,5.0,5.0,2.0,3.0,5.0,5.0,3.0,5.0,5.0,3.0,5.0,4.0,4.0,4.0,2.0,4.0,3.0,5.0,sporting,"hip problems,eye problems",20323,11.63,2,525,466,Once a week
Irish Terrier,3.0,4.0,5.0,3.0,3.0,3.0,5.0,4.0,1.0,1.0,2.0,1.0,5.0,3.0,5.0,2.0,5.0,4.0,4.0,1.0,5.0,3.0,2.0,3.0,3.0,4.0,2.0,4.0,4.0,3.0,,,,,,,,
Irish Water Spaniel,3.0,5.0,4.0,2.0,4.0,3.0,5.0,1.0,4.0,2.0,3.0,5.0,5.0,5.0,2.0,2.0,5.0,4.0,3.0,3.0,4.0,3.0,5.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,,,,,,,,
Irish Wolfhound,2.0,5.0,3.0,3.0,3.0,1.0,5.0,3.0,5.0,1.0,3.0,3.0,2.0,5.0,1.0,2.0,5.0,4.0,2.0,3.0,4.0,3.0,5.0,3.0,5.0,1.0,2.0,4.0,2.0,3.0,hound,"heart problems,liver,hip problems",18435,6.94,3,1333,1217,Once a week
Italian Greyhound,3.0,5.0,4.0,3.0,4.0,5.0,5.0,2.0,4.0,1.0,5.0,3.0,4.0,4.0,3.0,5.0,5.0,3.0,2.0,4.0,4.0,2.0,5.0,5.0,2.0,3.0,1.0,1.0,3.0,3.0,toy,none,16463,10.02,0,800,324,Once a week
Jack Russell Terrier,3.0,5.0,5.0,3.0,4.0,3.0,5.0,3.0,5.0,1.0,3.0,4.0,5.0,4.0,4.0,2.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,3.0,2.0,4.0,3.0,4.0,3.0,4.0,,,,,,,,
Japanese Chin,3.0,3.0,2.0,2.0,3.0,5.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,4.0,3.0,4.0,3.0,3.0,1.0,4.0,4.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,2.0,1.0,,,,,,,,
Japanese Spitz,3.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,1.0,4.0,4.0,3.0,2.0,3.0,4.0,5.0,4.0,2.0,2.0,4.0,2.0,2.0,3.0,2.0,4.0,2.0,4.0,3.0,2.0,,,,,,,,
Karelian Bear Dog,3.0,3.0,4.0,3.0,4.0,2.0,4.0,3.0,1.0,1.0,4.0,2.0,4.0,2.0,4.0,1.0,3.0,4.0,5.0,4.0,4.0,2.0,5.0,4.0,3.0,4.0,2.0,5.0,3.0,5.0,,,,,,,,
Keeshond,4.0,5.0,4.0,3.0,3.0,4.0,5.0,5.0,4.0,1.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,3.0,3.0,5.0,4.0,3.0,5.0,3.0,4.0,1.0,5.0,3.0,2.0,,,,,,,,
Kerry Blue Terrier,3.0,4.0,4.0,2.0,4.0,3.0,4.0,1.0,2.0,1.0,2.0,4.0,4.0,5.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,terrier,heart problems,17240,9.4,1,1200,466,Daily
Komondor,3.0,3.0,3.0,3.0,4.0,2.0,5.0,3.0,1.0,2.0,2.0,4.0,2.0,1.0,2.0,1.0,3.0,4.0,1.0,3.0,4.0,3.0,2.0,4.0,4.0,5.0,1.0,4.0,3.0,4.0,,,,,,,,
Kooikerhondje,3.0,2.0,5.0,3.0,3.0,4.0,3.0,3.0,2.0,1.0,2.0,1.0,4.0,2.0,5.0,3.0,2.0,4.0,5.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0,,,,,,,,
Kuvasz,3.0,2.0,4.0,4.0,2.0,1.0,5.0,4.0,2.0,3.0,4.0,2.0,4.0,1.0,4.0,1.0,1.0,4.0,4.0,1.0,4.0,4.0,1.0,5.0,5.0,3.0,1.0,5.0,2.0,3.0,,,,,,,,
Labradoodle,4.0,5.0,5.0,3.0,3.0,3.0,5.0,3.0,5.0,1.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,1.0,5.0,3.0,2.0,3.0,4.0,2.0,4.0,5.0,4.0,3.0,,,,,,,,
Labrador Retriever,3.0,5.0,5.0,4.0,4.0,1.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,4.0,4.0,2.0,3.0,3.0,3.0,sporting,"elbow problems,hip problems,eye problems",21299,12.04,3,810,466,Once a week
Lagotto Romagnolo,3.0,3.0,4.0,2.0,3.0,2.0,3.0,1.0,3.0,2.0,1.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,2.0,2.0,4.0,3.0,4.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,,,,,,,,
Lakeland Terrier,3.0,4.0,4.0,3.0,3.0,4.0,5.0,2.0,3.0,1.0,2.0,2.0,5.0,3.0,5.0,3.0,4.0,4.0,4.0,1.0,4.0,3.0,4.0,3.0,2.0,2.0,2.0,4.0,4.0,3.0,,,,,,,,
Lancashire Heeler,3.0,3.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0,1.0,4.0,3.0,4.0,2.0,4.0,2.0,3.0,4.0,4.0,2.0,4.0,4.0,2.0,3.0,1.0,2.0,3.0,3.0,3.0,4.0,,,,,,,,
Leonberger,2.0,4.0,4.0,4.0,3.0,1.0,5.0,5.0,3.0,3.0,4.0,2.0,4.0,2.0,1.0,1.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,2.0,5.0,1.0,2.0,,,,,,,,
Lhasa Apso,4.0,3.0,4.0,2.0,3.0,5.0,4.0,3.0,3.0,1.0,1.0,3.0,4.0,2.0,3.0,5.0,4.0,4.0,3.0,3.0,5.0,3.0,4.0,5.0,1.0,4.0,4.0,3.0,2.0,2.0,non-sporting,'dry eye',22031,13.92,1,350,324,Once a week
Lowchen,3.0,5.0,4.0,3.0,4.0,5.0,5.0,3.0,4.0,1.0,3.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,3.0,3.0,5.0,3.0,4.0,3.0,1.0,4.0,1.0,3.0,3.0,5.0,,,,,,,,
Maltese,3.0,4.0,3.0,2.0,3.0,5.0,5.0,2.0,4.0,1.0,2.0,4.0,3.0,2.0,3.0,5.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,1.0,2.0,1.0,1.0,3.0,1.0,toy,heart problems,19084,12.25,1,650,270,Daily
Maltese Shih Tzu,3.0,3.0,3.0,2.0,4.0,5.0,4.0,1.0,3.0,1.0,2.0,4.0,3.0,3.0,2.0,5.0,3.0,3.0,2.0,4.0,3.0,3.0,5.0,3.0,1.0,4.0,3.0,2.0,2.0,1.0,,,,,,,,
Maltipoo,4.0,4.0,3.0,2.0,4.0,5.0,5.0,1.0,4.0,1.0,3.0,5.0,3.0,4.0,2.0,5.0,4.0,4.0,3.0,3.0,4.0,2.0,2.0,5.0,2.0,5.0,1.0,2.0,3.0,4.0,,,,,,,,
Manchester Terrier,3.0,3.0,4.0,3.0,3.0,5.0,4.0,3.0,3.0,1.0,5.0,2.0,4.0,3.0,2.0,3.0,3.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,2.0,4.0,3.0,1.0,3.0,4.0,,,,,,,,
Mastiff,2.0,4.0,4.0,4.0,2.0,2.0,5.0,3.0,2.0,5.0,3.0,3.0,3.0,2.0,3.0,1.0,5.0,2.0,3.0,4.0,4.0,4.0,2.0,3.0,5.0,2.0,3.0,4.0,1.0,1.0,working,"hip problems,heart problems",13581,6.5,2,900,701,Once a week
Miniature Pinscher,3.0,3.0,4.0,3.0,3.0,5.0,5.0,2.0,2.0,1.0,5.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,5.0,5.0,3.0,5.0,1.0,1.0,2.0,1.0,3.0,5.0,,,,,,,,
Miniature Schnauzer,4.0,4.0,4.0,2.0,4.0,4.0,5.0,2.0,3.0,1.0,2.0,5.0,5.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,2.0,3.0,5.0,4.0,4.0,3.0,terrier,"liver,sinus problems",20087,11.81,2,715,405,Once a week
Mudi,3.0,3.0,4.0,3.0,4.0,2.0,4.0,3.0,2.0,1.0,4.0,5.0,4.0,2.0,4.0,4.0,2.0,4.0,2.0,3.0,4.0,2.0,4.0,4.0,2.0,4.0,2.0,3.0,3.0,4.0,,,,,,,,
Mutt,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,
Neapolitan Mastiff,2.0,3.0,3.0,4.0,2.0,2.0,5.0,3.0,2.0,5.0,3.0,3.0,3.0,1.0,2.0,1.0,4.0,3.0,1.0,2.0,4.0,5.0,1.0,4.0,5.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,
Newfoundland,3.0,5.0,3.0,4.0,4.0,1.0,5.0,5.0,4.0,5.0,2.0,5.0,3.0,4.0,1.0,3.0,5.0,4.0,1.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,1.0,5.0,2.0,3.0,working,"hip problems, heart defects",19351,9.32,2,1178,710,Once a week
Norfolk Terrier,4.0,5.0,4.0,3.0,3.0,4.0,5.0,1.0,5.0,1.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,2.0,5.0,5.0,1.0,4.0,1.0,3.0,3.0,4.0,4.0,4.0,terrier,none,24308,13.07,0,2083,466,Once a week
Norwegian Buhund,3.0,4.0,5.0,3.0,3.0,3.0,5.0,3.0,3.0,1.0,2.0,4.0,4.0,3.0,4.0,3.0,5.0,3.0,4.0,3.0,5.0,3.0,2.0,3.0,3.0,4.0,4.0,5.0,2.0,4.0,,,,,,,,
Norwegian Elkhound,4.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,1.0,3.0,2.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,5.0,3.0,4.0,,,,,,,,
Norwegian Lundehund,3.0,5.0,5.0,3.0,3.0,1.0,5.0,5.0,5.0,1.0,4.0,4.0,4.0,5.0,3.0,1.0,5.0,5.0,4.0,3.0,5.0,3.0,2.0,3.0,3.0,1.0,2.0,5.0,3.0,5.0,,,,,,,,
Norwich Terrier,4.0,5.0,5.0,3.0,4.0,5.0,5.0,2.0,5.0,1.0,2.0,4.0,5.0,5.0,4.0,3.0,5.0,4.0,4.0,4.0,5.0,5.0,3.0,4.0,1.0,4.0,2.0,4.0,4.0,4.0,,,,,,,,
Nova Scotia Duck Tolling Retriever,4.0,5.0,5.0,3.0,4.0,5.0,5.0,3.0,4.0,1.0,5.0,4.0,5.0,4.0,4.0,3.0,5.0,5.0,3.0,4.0,5.0,4.0,5.0,3.0,3.0,4.0,2.0,4.0,4.0,3.0,,,,,,,,
Old English Sheepdog,4.0,4.0,4.0,3.0,3.0,5.0,5.0,1.0,4.0,4.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0,3.0,4.0,4.0,1.0,2.0,4.0,2.0,2.0,herding,hip problems,22611,11.19,1,832,710,Daily
Otterhound,3.0,5.0,5.0,3.0,4.0,1.0,5.0,4.0,5.0,1.0,2.0,2.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,5.0,3.0,5.0,2.0,4.0,2.0,5.0,4.0,3.0,5.0,,,,,,,,
Papillon,3.0,4.0,4.0,2.0,3.0,5.0,5.0,2.0,4.0,1.0,3.0,5.0,4.0,5.0,3.0,5.0,3.0,4.0,3.0,3.0,5.0,3.0,4.0,3.0,1.0,2.0,1.0,2.0,4.0,1.0,toy,"cataracts,hair loss,heart problems,eye problems,blood clotting disorders",21001,13.0,5,740,324,Once a week
Peekapoo,4.0,4.0,3.0,2.0,3.0,5.0,5.0,2.0,4.0,1.0,2.0,3.0,3.0,3.0,3.0,5.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,4.0,1.0,4.0,2.0,3.0,2.0,1.0,,,,,,,,
Pekingese,3.0,3.0,2.0,2.0,4.0,5.0,5.0,4.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,4.0,2.0,4.0,1.0,3.0,3.0,3.0,5.0,2.0,1.0,4.0,3.0,4.0,1.0,3.0,toy,knee problems,20565,11.56,1,885,466,Daily
Pembroke Welsh Corgi,4.0,4.0,4.0,3.0,3.0,4.0,5.0,5.0,3.0,1.0,4.0,5.0,4.0,5.0,3.0,4.0,4.0,5.0,3.0,2.0,4.0,4.0,3.0,4.0,2.0,2.0,3.0,4.0,3.0,2.0,herding,"cataracts,eye problems,connective tissue,nerves,kidneys,spinal problems,blood clotting disorders",23978,12.25,7,587,674,Once a week
Petit Basset Griffon Vendeen,3.0,5.0,5.0,3.0,4.0,4.0,5.0,4.0,5.0,1.0,2.0,1.0,5.0,5.0,3.0,3.0,5.0,4.0,4.0,3.0,5.0,4.0,5.0,3.0,2.0,5.0,3.0,4.0,3.0,5.0,,,,,,,,
Pharaoh Hound,4.0,5.0,3.0,3.0,4.0,4.0,5.0,2.0,5.0,1.0,4.0,3.0,2.0,4.0,5.0,4.0,5.0,4.0,3.0,4.0,4.0,3.0,5.0,5.0,3.0,4.0,2.0,1.0,5.0,4.0,hound,none,21047,11.83,0,913,466,Once a week
Plott,2.0,4.0,4.0,3.0,4.0,1.0,4.0,2.0,5.0,1.0,5.0,4.0,4.0,3.0,5.0,1.0,3.0,3.0,4.0,3.0,3.0,3.0,5.0,4.0,3.0,1.0,2.0,2.0,4.0,5.0,,,,,,,,
Pocket Beagle,3.0,5.0,4.0,3.0,4.0,4.0,5.0,3.0,5.0,1.0,5.0,3.0,4.0,4.0,3.0,3.0,5.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,2.0,5.0,2.0,2.0,4.0,5.0,,,,,,,,
Pointer,2.0,5.0,5.0,3.0,5.0,1.0,5.0,3.0,5.0,1.0,5.0,5.0,5.0,5.0,3.0,1.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,3.0,3.0,3.0,1.0,2.0,4.0,5.0,sporting,hip problems,24445,12.42,1,294,710,Once a week
Polish Lowland Sheepdog,4.0,4.0,4.0,2.0,3.0,4.0,5.0,1.0,3.0,1.0,1.0,4.0,4.0,3.0,4.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,4.0,4.0,3.0,,,,,,,,
Pomeranian,3.0,3.0,3.0,3.0,3.0,4.0,5.0,4.0,2.0,1.0,2.0,4.0,3.0,3.0,3.0,4.0,2.0,4.0,2.0,2.0,3.0,4.0,2.0,4.0,1.0,5.0,1.0,4.0,2.0,1.0,toy,heart problems,15792,9.67,1,670,324,Once a week
Pomsky,3.0,3.0,3.0,3.0,4.0,5.0,5.0,4.0,3.0,1.0,2.0,3.0,4.0,3.0,3.0,2.0,2.0,4.0,2.0,3.0,4.0,3.0,4.0,4.0,2.0,5.0,1.0,5.0,3.0,2.0,,,,,,,,
Poodle,4.0,5.0,4.0,2.0,4.0,5.0,5.0,1.0,4.0,1.0,1.0,5.0,4.0,4.0,2.0,5.0,5.0,5.0,3.0,4.0,5.0,4.0,2.0,4.0,4.0,2.0,1.0,3.0,4.0,3.0,non-sporting,"fatal stomach bloat,skin disorder",21237,11.95,2,900,466,Once a week
Portuguese Water Dog,3.0,5.0,5.0,2.0,4.0,4.0,5.0,1.0,5.0,1.0,2.0,4.0,5.0,3.0,4.0,3.0,5.0,5.0,3.0,5.0,5.0,3.0,3.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0,,,,,,,,
Pug,3.0,4.0,4.0,3.0,2.0,5.0,5.0,5.0,4.0,1.0,5.0,3.0,3.0,4.0,1.0,5.0,4.0,2.0,4.0,2.0,5.0,5.0,3.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,toy,'dry eye',18527,11.0,1,469,405,Once a week
Puggle,4.0,5.0,3.0,3.0,3.0,4.0,3.0,3.0,5.0,1.0,5.0,2.0,3.0,5.0,4.0,5.0,5.0,3.0,2.0,3.0,3.0,5.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,5.0,,,,,,,,
Puli,3.0,4.0,5.0,2.0,4.0,4.0,5.0,1.0,5.0,1.0,1.0,2.0,5.0,2.0,5.0,1.0,5.0,4.0,5.0,3.0,5.0,3.0,4.0,4.0,3.0,4.0,2.0,4.0,3.0,5.0,,,,,,,,
Pyrenean Shepherd,3.0,4.0,5.0,2.0,3.0,5.0,5.0,3.0,2.0,1.0,3.0,2.0,4.0,2.0,2.0,2.0,5.0,4.0,5.0,3.0,5.0,3.0,4.0,4.0,2.0,5.0,1.0,4.0,3.0,2.0,,,,,,,,
Rat Terrier,3.0,4.0,5.0,3.0,3.0,5.0,4.0,4.0,3.0,1.0,5.0,5.0,5.0,4.0,4.0,3.0,5.0,4.0,4.0,2.0,5.0,3.0,4.0,4.0,1.0,1.0,3.0,1.0,4.0,4.0,,,,,,,,
Redbone Coonhound,3.0,4.0,5.0,3.0,4.0,4.0,5.0,2.0,4.0,4.0,5.0,3.0,4.0,3.0,3.0,2.0,5.0,4.0,4.0,4.0,5.0,3.0,4.0,5.0,3.0,4.0,2.0,3.0,2.0,5.0,,,,,,,,
Rhodesian Ridgeback,3.0,4.0,5.0,4.0,3.0,1.0,5.0,4.0,4.0,1.0,5.0,2.0,4.0,3.0,4.0,2.0,4.0,4.0,4.0,3.0,5.0,3.0,5.0,4.0,4.0,1.0,2.0,3.0,3.0,5.0,hound,"birth defects,hip problems",16530,9.1,2,995,466,Once a week
Rottweiler,2.0,4.0,4.0,4.0,4.0,2.0,5.0,4.0,2.0,4.0,5.0,4.0,4.0,4.0,2.0,1.0,4.0,5.0,4.0,3.0,5.0,5.0,4.0,4.0,3.0,4.0,1.0,2.0,3.0,2.0,working,"heart problems,elbow problems,hip problems",18886,9.11,3,1118,710,Once a week
Saint Bernard,3.0,5.0,3.0,4.0,2.0,3.0,5.0,4.0,5.0,5.0,2.0,2.0,3.0,5.0,2.0,2.0,5.0,4.0,2.0,3.0,4.0,4.0,1.0,4.0,5.0,1.0,1.0,5.0,1.0,2.0,working,"heart problems,hip disorders,fatal stomach bloat",20022,7.78,3,875,1217,Daily
Saluki,2.0,4.0,4.0,3.0,4.0,1.0,5.0,2.0,4.0,1.0,4.0,4.0,5.0,1.0,4.0,2.0,4.0,4.0,2.0,4.0,5.0,1.0,5.0,5.0,4.0,1.0,1.0,2.0,3.0,5.0,hound,none,24866,12.0,0,1525,710,Daily
Samoyed,3.0,5.0,4.0,3.0,4.0,2.0,5.0,5.0,5.0,2.0,1.0,3.0,5.0,5.0,3.0,2.0,5.0,3.0,2.0,3.0,5.0,4.0,5.0,4.0,3.0,3.0,2.0,5.0,1.0,4.0,working,hip problems,25352,12.44,1,1162,710,Once a week
Schipperke,3.0,3.0,5.0,3.0,3.0,4.0,4.0,3.0,2.0,1.0,5.0,2.0,5.0,2.0,4.0,4.0,5.0,4.0,3.0,3.0,5.0,5.0,2.0,4.0,1.0,4.0,3.0,3.0,2.0,5.0,,,,,,,,
Schnoodle,3.0,4.0,4.0,3.0,3.0,3.0,4.0,2.0,3.0,1.0,4.0,4.0,4.0,3.0,3.0,5.0,5.0,5.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,2.0,2.0,2.0,4.0,3.0,,,,,,,,
Scottish Deerhound,3.0,4.0,5.0,3.0,3.0,1.0,5.0,5.0,2.0,1.0,2.0,2.0,5.0,5.0,3.0,1.0,4.0,3.0,5.0,4.0,5.0,4.0,5.0,3.0,5.0,1.0,2.0,4.0,4.0,4.0,,,,,,,,
